epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,46.7173,1.08777,1.43608,1.02629,0.51981,0.53274,0.52266,0.39024,1.13821,1.05325,1.13308,0.000261307,0.000261307,0.000261307
45,47.7328,1.04189,1.33701,0.99193,0.50666,0.53809,0.52579,0.3944,1.14539,1.02841,1.12872,0.000256802,0.000256802,0.000256802
46,48.7786,1.02363,1.28877,1.01006,0.51512,0.53461,0.53214,0.38684,1.13796,1.0071,1.12417,0.000252298,0.000252298,0.000252298
47,49.8158,1.01341,1.297,0.97968,0.52489,0.53461,0.53494,0.38903,1.12219,0.99042,1.12254,0.000247793,0.000247793,0.000247793
48,50.8389,1.01159,1.27608,1.0039,0.58186,0.50912,0.5374,0.3794,1.09745,0.99263,1.12445,0.000243289,0.000243289,0.000243289
49,51.9423,1.01522,1.22931,1.00347,0.5889,0.49308,0.52635,0.37423,1.10465,1.01671,1.12728,0.000238784,0.000238784,0.000238784
50,53.0117,0.96391,1.2381,0.97944,0.6042,0.49798,0.54206,0.39039,1.11437,1.04901,1.13226,0.00023428,0.00023428,0.00023428
51,54.1019,1.00192,1.21027,1.01115,0.5353,0.48622,0.50058,0.36646,1.10931,1.05887,1.1301,0.000229775,0.000229775,0.000229775
52,55.1282,0.96264,1.20653,0.99516,0.46326,0.42923,0.45331,0.3365,1.13057,1.03554,1.1274,0.00022527,0.00022527,0.00022527
53,56.1814,1.02825,1.23494,1.01444,0.5162,0.49397,0.52087,0.36287,1.12272,0.99596,1.1239,0.000220766,0.000220766,0.000220766
54,57.1879,0.99049,1.16975,1.00473,0.59746,0.53559,0.58309,0.40463,1.10459,0.96338,1.12119,0.000216261,0.000216261,0.000216261
55,58.1917,0.98884,1.19618,0.98993,0.57906,0.55924,0.60129,0.42098,1.10884,0.94663,1.12701,0.000211757,0.000211757,0.000211757
56,59.2852,0.93199,1.08895,0.97094,0.49998,0.56387,0.5698,0.38952,1.10505,0.91526,1.12805,0.000207252,0.000207252,0.000207252
57,60.3808,0.94961,1.07111,0.97777,0.48471,0.58571,0.56917,0.39544,1.09343,0.93275,1.12343,0.000202748,0.000202748,0.000202748
58,61.4085,0.95797,1.11433,0.97877,0.48056,0.58159,0.56384,0.39232,1.09308,0.9349,1.12314,0.000198244,0.000198244,0.000198244
59,62.552,0.98388,1.14665,0.97405,0.49904,0.57742,0.56769,0.39954,1.09184,0.93408,1.12346,0.000193739,0.000193739,0.000193739
60,63.6262,0.96171,1.09332,0.97233,0.56053,0.59168,0.58488,0.39275,1.09365,0.90502,1.12337,0.000189235,0.000189235,0.000189235
61,64.7457,0.95003,1.14665,0.97439,0.56933,0.59168,0.59917,0.40279,1.09333,0.90374,1.12624,0.00018473,0.00018473,0.00018473
62,66.0117,0.94786,1.10374,0.97096,0.52898,0.5328,0.55593,0.3706,1.09538,0.92529,1.12588,0.000180226,0.000180226,0.000180226
63,67.4779,0.96864,1.10185,0.96393,0.50963,0.53624,0.55454,0.3746,1.1038,0.9325,1.12346,0.000175721,0.000175721,0.000175721
